#,ID,Grade,Chance,Odds,Coins/Roll,XP/Roll,ShopPrice,League,Collections
1,cat,Common,2,1/2,2,5,4,Bronze,House Pets | Felines
2,beagle,Common,3,1/3,3,5,6,Bronze,House Pets | Farm | Canine Pack
3,mouse,Common,4,1/4,4,5,8,Bronze,House Pets | Rodents
4,hamster,Common,5,1/5,5,5,10,Bronze,House Pets | Rodents
5,hare,Common,6,1/6,6,5,12,Bronze,House Pets | Farm
6,sheep,Common,7,1/7,7,5,14,Bronze,Farm
7,goat,Common,8,1/8,8,5,16,Bronze,Farm
8,cow,Common,10,1/10,10,5,20,Bronze,Farm
9,pig,Common,12,1/12,12,5,24,Bronze,Farm
10,pigeon,Common,14,1/14,14,5,28,Bronze,Birds
11,duck,Common,16,1/16,16,5,32,Bronze,Farm | Birds | River & Pond
12,frog,Common,18,1/18,18,5,36,Bronze,River & Pond
13,bee,Common,20,1/20,20,5,40,Bronze,Bugs
14,ladybug,Common,24,1/24,24,5,48,Bronze,Bugs
15,grasshopper,Common,28,1/28,28,5,56,Bronze,Bugs
16,goldfish,Common,32,1/32,32,5,64,Bronze,House Pets
17,turkey,Common,36,1/36,36,5,72,Bronze,Farm | Birds
18,squirrel,Common,40,1/40,40,5,80,Bronze,Forest | Rodents
19,mole,Common,44,1/44,44,5,88,Bronze,Forest
20,opossum,Common,48,1/48,48,5,96,Bronze,Forest
21,porcupine,Common,52,1/52,52,5,104,Bronze,Forest | Rodents
22,ferret,Common,57,1/57,57,5,114,Bronze,House Pets
23,badger,Common,62,1/62,62,5,124,Bronze,Forest
24,beaver,Common,67,1/67,67,5,134,Bronze,Forest | Rodents | River & Pond
25,raccoon,Common,72,1/72,72,5,144,Bronze,Forest
26,shiba,Common,78,1/78,78,5,156,Bronze,House Pets | Canine Pack | Asian
27,turtle,Common,85,1/85,85,5,170,Bronze,House Pets | Scaled
28,snake,Common,93,1/93,93,5,186,Bronze,Scaled | Venomous
29,penguin,Uncommon,100,1/100,100,5,200,Bronze,Birds | Arctic
30,panda,Uncommon,120,1/120,120,5,240,Bronze,Asian
31,koala,Uncommon,140,1/140,140,5,280,Bronze,Exotic
32,owl,Uncommon,160,1/160,160,5,320,Bronze,Forest | Birds
33,capybara,Uncommon,180,1/180,180,5,360,Bronze,Rodents | Exotic | Latin America
34,red_panda,Uncommon,200,1/200,200,5,400,Bronze,Exotic | Asian
35,otter,Uncommon,230,1/230,230,5,460,Bronze,River & Pond
36,meerkat,Uncommon,260,1/260,260,5,520,Bronze,Desert | Savanna
37,llama,Uncommon,290,1/290,290,5,580,Bronze,Latin America
38,camel,Uncommon,320,1/320,320,5,640,Bronze,Desert
39,ram,Uncommon,360,1/360,360,5,720,Bronze,Farm
40,moose,Uncommon,400,1/400,400,5,800,Bronze,Forest
41,anteater,Uncommon,440,1/440,440,5,880,Bronze,Latin America
42,seal,Uncommon,480,1/480,480,5,960,Bronze,Ocean | Arctic
43,heron,Uncommon,530,1/530,530,5,1060,Bronze,Birds
44,kiwi,Uncommon,580,1/580,580,5,1160,Bronze,Birds
45,swan,Uncommon,630,1/630,630,5,1260,Bronze,Birds | River & Pond
46,pelican,Uncommon,680,1/680,680,5,1360,Bronze,Birds
47,toucan,Uncommon,730,1/730,730,5,1460,Bronze,Birds | Latin America
48,bat,Uncommon,780,1/780,780,5,1560,Bronze,Forest
49,spider,Uncommon,830,1/830,830,5,1660,Bronze,Bugs | Venomous
50,giraffe,Uncommon,870,1/870,870,5,1740,Bronze,Savanna
51,zebra,Uncommon,910,1/910,910,5,1820,Bronze,Savanna
52,hyena,Uncommon,950,1/950,950,5,1900,Bronze,Savanna | Canine Pack
53,seahorse,Uncommon,980,1/980,980,5,1960,Bronze,Ocean
54,dolphin,Extra,1000,1/1.0K,1000,5,2000,Bronze,Ocean
