Pet,Grade,Chance,Shop Price,Rolls to afford,Hours to afford,vs RNG rolls
cat,Common,1/2,4,1,0.0min,Shop faster (1 vs 9)
beagle,Common,1/3,6,1,0.0min,Shop faster (1 vs 19)
mouse,Common,1/4,8,1,0.0min,Shop faster (1 vs 19)
hamster,Common,1/5,10,1,0.0min,Shop faster (1 vs 19)
hare,Common,1/6,12,1,0.0min,Shop faster (1 vs 19)
sheep,Common,1/7,14,1,0.0min,Shop faster (1 vs 19)
goat,Common,1/8,16,1,0.0min,Shop faster (1 vs 19)
cow,Common,1/10,20,1,0.0min,Shop faster (1 vs 21)
pig,Common,1/12,24,1,0.0min,Shop faster (1 vs 23)
pigeon,Common,1/14,28,1,0.0min,Shop faster (1 vs 25)
duck,Common,1/16,32,1,0.0min,Shop faster (1 vs 27)
frog,Common,1/18,36,1,0.0min,Shop faster (1 vs 29)
bee,Common,1/20,40,1,0.0min,Shop faster (1 vs 30)
ladybug,Common,1/24,48,1,0.0min,Shop faster (1 vs 35)
grasshopper,Common,1/28,56,1,0.0min,Shop faster (1 vs 39)
goldfish,Common,1/32,64,1,0.0min,Shop faster (1 vs 43)
turkey,Common,1/36,72,1,0.0min,Shop faster (1 vs 47)
squirrel,Common,1/40,80,1,0.0min,Shop faster (1 vs 51)
mole,Common,1/44,88,1,0.0min,Shop faster (1 vs 55)
opossum,Common,1/48,96,1,0.0min,Shop faster (1 vs 59)
porcupine,Common,1/52,104,2,0.0min,Shop faster (2 vs 63)
ferret,Common,1/57,114,2,0.0min,Shop faster (2 vs 68)
badger,Common,1/62,124,2,0.0min,Shop faster (2 vs 72)
beaver,Common,1/67,134,2,0.0min,Shop faster (2 vs 77)
raccoon,Common,1/72,144,2,0.0min,Shop faster (2 vs 82)
shiba,Common,1/78,156,2,0.0min,Shop faster (2 vs 87)
turtle,Common,1/85,170,2,0.0min,Shop faster (2 vs 94)
snake,Common,1/93,186,2,0.0min,Shop faster (2 vs 102)
penguin,Uncommon,1/100,200,2,0.0min,Shop faster (2 vs 108)
panda,Uncommon,1/120,240,3,0.0min,Shop faster (3 vs 129)
koala,Uncommon,1/140,280,3,0.0min,Shop faster (3 vs 149)
owl,Uncommon,1/160,320,4,0.0min,Shop faster (4 vs 170)
capybara,Uncommon,1/180,360,4,0.0min,Shop faster (4 vs 190)
red_panda,Uncommon,1/200,400,4,0.0min,Shop faster (4 vs 210)
otter,Uncommon,1/230,460,5,0.0min,Shop faster (5 vs 240)
meerkat,Uncommon,1/260,520,6,0.1min,Shop faster (6 vs 270)
llama,Uncommon,1/290,580,6,0.1min,Shop faster (6 vs 301)
camel,Uncommon,1/320,640,7,0.1min,Shop faster (7 vs 331)
ram,Uncommon,1/360,720,8,0.1min,Shop faster (8 vs 371)
moose,Uncommon,1/400,800,8,0.1min,Shop faster (8 vs 411)
anteater,Uncommon,1/440,880,9,0.1min,Shop faster (9 vs 451)
seal,Uncommon,1/480,960,10,0.1min,Shop faster (10 vs 491)
heron,Uncommon,1/530,1.06K,11,0.1min,Shop faster (11 vs 541)
kiwi,Uncommon,1/580,1.16K,12,0.1min,Shop faster (12 vs 591)
swan,Uncommon,1/630,1.26K,13,0.1min,Shop faster (13 vs 641)
pelican,Uncommon,1/680,1.36K,14,0.1min,Shop faster (14 vs 691)
toucan,Uncommon,1/730,1.46K,15,0.1min,Shop faster (15 vs 741)
bat,Uncommon,1/780,1.56K,16,0.1min,Shop faster (16 vs 791)
spider,Uncommon,1/830,1.66K,17,0.1min,Shop faster (17 vs 840)
giraffe,Uncommon,1/870,1.74K,18,0.1min,Shop faster (18 vs 880)
zebra,Uncommon,1/910,1.82K,19,0.2min,Shop faster (19 vs 919)
hyena,Uncommon,1/950,1.90K,19,0.2min,Shop faster (19 vs 959)
seahorse,Uncommon,1/980,1.96K,20,0.2min,Shop faster (20 vs 988)
dolphin,Extra,1/1.0K,2.00K,20,0.2min,Shop faster (20 vs 1.01K)
chameleon,Extra,1/1.2K,2.40K,24,0.2min,Shop faster (24 vs 1.21K)
octopus,Extra,1/1.4K,2.80K,28,0.2min,Shop faster (28 vs 1.41K)
axolotl,Extra,1/1.7K,3.40K,34,0.3min,Shop faster (34 vs 1.71K)
crocodile,Extra,1/2.0K,4.00K,40,0.3min,Shop faster (40 vs 2.01K)
cobra,Extra,1/2.3K,4.60K,46,0.4min,Shop faster (46 vs 2.31K)
kangaroo,Extra,1/2.5K,5.00K,50,0.4min,Shop faster (50 vs 2.51K)
falcon,Extra,1/2.8K,5.60K,56,0.5min,Shop faster (56 vs 2.81K)
raven,Extra,1/3.0K,6.00K,60,0.5min,Shop faster (60 vs 3.01K)
hummingbird,Extra,1/3.2K,6.40K,64,0.5min,Shop faster (64 vs 3.21K)
scorpion,Extra,1/3.5K,7.00K,70,0.6min,Shop faster (70 vs 3.51K)
pufferfish,Extra,1/3.7K,7.40K,74,0.6min,Shop faster (74 vs 3.71K)
fennec_fox,Extra,1/4.0K,8.00K,80,0.7min,Shop faster (80 vs 4.01K)
pallas_cat,Extra,1/4.2K,8.40K,84,0.7min,Shop faster (84 vs 4.21K)
gorilla,Extra,1/4.5K,9.00K,90,0.8min,Shop faster (90 vs 4.50K)
rhino,Extra,1/4.8K,9.60K,96,0.8min,Shop faster (96 vs 4.80K)
lion,Rare,1/5.0K,10.00K,100,0.8min,Shop faster (100 vs 5.00K)
cheetah,Rare,1/7.0K,14.00K,139,1.2min,Shop faster (139 vs 7.00K)
jaguar,Rare,1/9.0K,18.00K,179,1.5min,Shop faster (179 vs 9.01K)
shark,Rare,1/11.0K,22.00K,219,1.8min,Shop faster (219 vs 11.01K)
bear,Rare,1/14.0K,28.00K,278,2.3min,Shop faster (278 vs 14.01K)
wolf,Rare,1/17.0K,34.00K,338,2.8min,Shop faster (338 vs 17.01K)
whale,Rare,1/20.0K,40.00K,397,3.3min,Shop faster (397 vs 20.01K)
walrus,Rare,1/24.0K,48.00K,476,4.0min,Shop faster (476 vs 24.01K)
hippo,Rare,1/28.0K,56.00K,556,4.6min,Shop faster (556 vs 28.01K)
jellyfish,Rare,1/32.0K,64.00K,635,5.3min,Shop faster (635 vs 32.01K)
squid,Rare,1/36.0K,72.00K,714,6.0min,Shop faster (714 vs 36.01K)
anglerfish,Rare,1/40.0K,80.00K,794,6.6min,Shop faster (794 vs 40.01K)
mammoth,Rare,1/44.0K,88.00K,873,7.3min,Shop faster (873 vs 44.00K)
sabertooth,Rare,1/48.0K,96.00K,952,7.9min,Shop faster (952 vs 48.00K)
slime,Superior,1/50.0K,100.00K,992,8.3min,Shop faster (992 vs 50.00K)
ghost,Superior,1/75.0K,150.00K,1.49K,12.4min,Shop faster (1.49K vs 75.00K)
skeleton,Superior,1/100.0K,200.00K,1.98K,16.5min,Shop faster (1.98K vs 100.00K)
zombie,Superior,1/140.0K,280.00K,2.78K,23.1min,Shop faster (2.78K vs 140.00K)
robot,Superior,1/180.0K,360.00K,3.57K,29.8min,Shop faster (3.57K vs 180.00K)
snowman,Superior,1/220.0K,440.00K,4.36K,36.4min,Shop faster (4.36K vs 220.00K)
teddy_bear,Superior,1/270.0K,540.00K,5.36K,44.6min,Shop faster (5.36K vs 270.00K)
gingerbread_man,Superior,1/320.0K,640.00K,6.35K,52.9min,Shop faster (6.35K vs 320.00K)
yeti,Superior,1/400.0K,800.00K,7.93K,1.1h,Shop faster (7.93K vs 400.00K)
mimic,Superior,1/480.0K,960.00K,9.52K,1.3h,Shop faster (9.52K vs 480.00K)
griffin,Elite,1/500.0K,1.00M,9.92K,1.4h,Shop faster (9.92K vs 500.00K)
kitsune,Elite,1/800.0K,1.60M,15.87K,2.2h,Shop faster (15.87K vs 800.00K)
golem,Elite,1/1.2M,2.40M,23.80K,3.3h,Shop faster (23.80K vs 1.20M)
vampire,Elite,1/1.8M,3.60M,35.70K,5.0h,Shop faster (35.70K vs 1.80M)
cerberus,Elite,1/2.5M,5.00M,49.58K,6.9h,Shop faster (49.58K vs 2.50M)
minotaur,Elite,1/3.5M,7.00M,69.42K,9.6h,Shop faster (69.42K vs 3.50M)
nightmare,Elite,1/4.5M,9.00M,89.25K,12.4h,Shop faster (89.25K vs 4.50M)
dragon,Epic,1/5.0M,10.00M,99.16K,13.8h,Shop faster (99.16K vs 5.00M)
pegasus,Epic,1/8.0M,16.00M,158.66K,22.0h,Shop faster (158.66K vs 8.00M)
alien,Epic,1/15.0M,30.00M,297.49K,41.3h,Shop faster (297.49K vs 15.00M)
astronaut,Epic,1/22.0M,44.00M,436.32K,60.6h,Shop faster (436.32K vs 22.00M)
sphinx,Epic,1/35.0M,70.00M,694.14K,96.4h,Shop faster (694.14K vs 35.00M)
ifrit,Epic,1/45.0M,90.00M,892.47K,124.0h,Shop faster (892.47K vs 45.00M)
phoenix,Heroic,1/50.0M,100.00M,991.63K,137.7h,Shop faster (991.63K vs 50.00M)
djinn,Heroic,1/120.0M,240.00M,2.38M,330.5h,Shop faster (2.38M vs 120.00M)
cheshire_cat,Heroic,1/200.0M,400.00M,3.97M,550.9h,Shop faster (3.97M vs 200.00M)
chinese_dragon,Mythic,1/350.0M,700.00M,6.94M,964.1h,Shop faster (6.94M vs 350.00M)
